カテゴリ,曖昧な表現,明確化のヒント,書き換え例
量・規模,多め,具体的な数値・単位で指定,「業界別に3件ずつ、計9件」
量・規模,少なめ,具体的な数値・単位で指定,「最大5項目以内」
量・規模,適度に,具体的な範囲で指定,「300〜500文字」
量・規模,ある程度,具体的な数値・割合で指定,「全体の70%程度」
量・規模,たくさん,具体的な数値で指定,「10件以上」
量・規模,いくつか,具体的な数で指定,「3〜5件」
時間・頻度,早めに,具体的な日時で指定,「毎週金曜17時まで」
時間・頻度,すぐに,具体的な期限で指定,「24時間以内」
時間・頻度,適宜,具体的なタイミング・条件で指定,「エラー発生時に即時」
時間・頻度,定期的に,具体的な頻度で指定,「毎月第1営業日」
時間・頻度,たまに,具体的な頻度で指定,「四半期ごと」
時間・頻度,随時,具体的なトリガー条件で指定,「依頼があり次第」
品質・評価,質の高い,評価基準・必須要素を明示,「ROI試算含む、承認テンプレート準拠」
品質・評価,いい感じに,具体的な評価軸を列挙,「簡潔・論理的・データ根拠あり」
品質・評価,わかりやすく,対象読者と理解レベルを明示,「非エンジニアでも理解できる用語で」
品質・評価,丁寧に,トーン・敬称を具体化,「です・ます調、役職名付き」
品質・評価,詳しく,必要な要素・深さを指定,「背景・手順・期待効果の3点セット」
品質・評価,簡潔に,文字数・項目数で制約,「各項目100文字以内」
役割・責任,関係者,部署名・担当者名を明記,「営業企画部の佐藤」
役割・責任,担当者,役割・氏名を具体化,「プロジェクトマネージャーの田中」
役割・責任,チーム,チーム名・メンバー範囲を明示,「カスタマーサクセスチーム（5名）」
役割・責任,上司,役職・決裁権限を明示,「部長（最終承認者）」
例示不足,など,具体例を3つ列挙,「情報流出・倫理・顧客離脱の3つ」
例示不足,その他,具体的なカテゴリで分類,「上記以外の技術的制約」
例示不足,いろいろ,具体的な項目を列挙,「価格・納期・品質・サポート体制」
例示不足,様々な,具体的な種類を明示,「業界別（製造・金融・小売）」
曖昧動詞,整理する,アウトプット形式を明示,「優先度順の表で整理」
曖昧動詞,検討する,判断基準・期限を明示,「コスト・リスクで評価し、来週までに判断」
曖昧動詞,確認する,確認内容・方法を明示,「法務部に契約条項を照会」
曖昧動詞,調整する,調整対象・ゴールを明示,「納期を2週間延長できるか交渉」
曖昧動詞,対応する,具体的なアクションを明示,「エラーログを取得し、サポートへ転送」
曖昧動詞,考慮する,考慮すべき要素を列挙,「法規制・コスト・リスクの3点を評価」
副詞,なるべく,優先順位・制約を明示,「必須ではないが、可能な限り含める」
副詞,できれば,条件・代替案を明示,「予算内であれば追加、超える場合は次フェーズ」
副詞,基本的に,例外条件を明示,「原則として承認必要。緊急時は事後報告可」
副詞,ほとんど,具体的な割合・範囲を明示,「90%以上のケース」
副詞,だいたい,許容範囲を明示,「±10%の誤差まで許容」
範囲,全体,具体的なスコープを明示,「全12部署のうち営業・CS・開発の3部署」
範囲,一部,具体的な範囲・割合を明示,「上位20%の顧客」
範囲,主要な,選定基準を明示,「売上TOP5の製品」
範囲,重要な,重要度の判断基準を明示,「法的リスクを伴うもの」
